Scenario,Tool,Run,Case,Artifact,Phase,Iteration,Metric,Value
Batch,Sprincle_NoRead_Batch,1,RouteSensor,1,Read,0,Time,4713350
Batch,Sprincle_NoRead_Batch,1,RouteSensor,1,Check,0,Time,107
Batch,Sprincle_NoRead_Batch,1,RouteSensor,1,Check,0,Matches,7
Batch,Sprincle_NoRead_Batch,1,RouteSensor,2,Read,0,Time,13899036
Batch,Sprincle_NoRead_Batch,1,RouteSensor,2,Check,0,Time,112
Batch,Sprincle_NoRead_Batch,1,RouteSensor,2,Check,0,Matches,9
Batch,Sprincle_NoRead_Batch,1,RouteSensor,4,Read,0,Time,21035979
Batch,Sprincle_NoRead_Batch,1,RouteSensor,4,Check,0,Time,219
Batch,Sprincle_NoRead_Batch,1,RouteSensor,4,Check,0,Matches,26
Batch,Sprincle_NoRead_Batch,1,RouteSensor,8,Read,0,Time,36895104
Batch,Sprincle_NoRead_Batch,1,RouteSensor,8,Check,0,Time,147
Batch,Sprincle_NoRead_Batch,1,RouteSensor,8,Check,0,Matches,44
Batch,Sprincle_NoRead_Batch,1,RouteSensor,16,Read,0,Time,85462152
Batch,Sprincle_NoRead_Batch,1,RouteSensor,16,Check,0,Time,162
Batch,Sprincle_NoRead_Batch,1,RouteSensor,16,Check,0,Matches,70
Batch,Sprincle_NoRead_Batch,1,RouteSensor,32,Read,0,Time,255716088
Batch,Sprincle_NoRead_Batch,1,RouteSensor,32,Check,0,Time,104
Batch,Sprincle_NoRead_Batch,1,RouteSensor,32,Check,0,Matches,149
Batch,Sprincle_NoRead_Batch,1,RouteSensor,64,Read,0,Time,438051318
Batch,Sprincle_NoRead_Batch,1,RouteSensor,64,Check,0,Time,155
Batch,Sprincle_NoRead_Batch,1,RouteSensor,64,Check,0,Matches,311
Batch,Sprincle_NoRead_Batch,1,RouteSensor,128,Read,0,Time,1068049356
Batch,Sprincle_NoRead_Batch,1,RouteSensor,128,Check,0,Time,121
Batch,Sprincle_NoRead_Batch,1,RouteSensor,128,Check,0,Matches,638
Batch,Sprincle_NoRead_Batch,1,RouteSensor,256,Read,0,Time,2042679376
Batch,Sprincle_NoRead_Batch,1,RouteSensor,256,Check,0,Time,263
Batch,Sprincle_NoRead_Batch,1,RouteSensor,256,Check,0,Matches,1248
Batch,Sprincle_NoRead_Batch,1,RouteSensor,512,Read,0,Time,4227621315
Batch,Sprincle_NoRead_Batch,1,RouteSensor,512,Check,0,Time,137
Batch,Sprincle_NoRead_Batch,1,RouteSensor,512,Check,0,Matches,2398
Batch,Sprincle_NoRead_Batch,1,RouteSensor,1024,Read,0,Time,8987251563
Batch,Sprincle_NoRead_Batch,1,RouteSensor,1024,Check,0,Time,162
Batch,Sprincle_NoRead_Batch,1,RouteSensor,1024,Check,0,Matches,4683
Batch,Sprincle_NoRead_Batch,1,RouteSensor,2048,Read,0,Time,13980735374
Batch,Sprincle_NoRead_Batch,1,RouteSensor,2048,Check,0,Time,253
Batch,Sprincle_NoRead_Batch,1,RouteSensor,2048,Check,0,Matches,9311
Batch,Sprincle_NoRead_Batch,2,RouteSensor,1,Read,0,Time,5804492
Batch,Sprincle_NoRead_Batch,2,RouteSensor,1,Check,0,Time,182
Batch,Sprincle_NoRead_Batch,2,RouteSensor,1,Check,0,Matches,7
Batch,Sprincle_NoRead_Batch,2,RouteSensor,2,Read,0,Time,8708216
Batch,Sprincle_NoRead_Batch,2,RouteSensor,2,Check,0,Time,93
Batch,Sprincle_NoRead_Batch,2,RouteSensor,2,Check,0,Matches,9
Batch,Sprincle_NoRead_Batch,2,RouteSensor,4,Read,0,Time,24596649
Batch,Sprincle_NoRead_Batch,2,RouteSensor,4,Check,0,Time,158
Batch,Sprincle_NoRead_Batch,2,RouteSensor,4,Check,0,Matches,26
Batch,Sprincle_NoRead_Batch,2,RouteSensor,8,Read,0,Time,51687330
Batch,Sprincle_NoRead_Batch,2,RouteSensor,8,Check,0,Time,110
Batch,Sprincle_NoRead_Batch,2,RouteSensor,8,Check,0,Matches,44
Batch,Sprincle_NoRead_Batch,2,RouteSensor,16,Read,0,Time,111877205
Batch,Sprincle_NoRead_Batch,2,RouteSensor,16,Check,0,Time,198
Batch,Sprincle_NoRead_Batch,2,RouteSensor,16,Check,0,Matches,70
Batch,Sprincle_NoRead_Batch,2,RouteSensor,32,Read,0,Time,168526989
Batch,Sprincle_NoRead_Batch,2,RouteSensor,32,Check,0,Time,134
Batch,Sprincle_NoRead_Batch,2,RouteSensor,32,Check,0,Matches,149
Batch,Sprincle_NoRead_Batch,2,RouteSensor,64,Read,0,Time,344963546
Batch,Sprincle_NoRead_Batch,2,RouteSensor,64,Check,0,Time,207
Batch,Sprincle_NoRead_Batch,2,RouteSensor,64,Check,0,Matches,311
Batch,Sprincle_NoRead_Batch,2,RouteSensor,128,Read,0,Time,977813676
Batch,Sprincle_NoRead_Batch,2,RouteSensor,128,Check,0,Time,105
Batch,Sprincle_NoRead_Batch,2,RouteSensor,128,Check,0,Matches,638
Batch,Sprincle_NoRead_Batch,2,RouteSensor,256,Read,0,Time,2101148099
Batch,Sprincle_NoRead_Batch,2,RouteSensor,256,Check,0,Time,159
Batch,Sprincle_NoRead_Batch,2,RouteSensor,256,Check,0,Matches,1248
Batch,Sprincle_NoRead_Batch,2,RouteSensor,512,Read,0,Time,3532251099
Batch,Sprincle_NoRead_Batch,2,RouteSensor,512,Check,0,Time,122
Batch,Sprincle_NoRead_Batch,2,RouteSensor,512,Check,0,Matches,2398
Batch,Sprincle_NoRead_Batch,2,RouteSensor,1024,Read,0,Time,8811375530
Batch,Sprincle_NoRead_Batch,2,RouteSensor,1024,Check,0,Time,133
Batch,Sprincle_NoRead_Batch,2,RouteSensor,1024,Check,0,Matches,4683
Batch,Sprincle_NoRead_Batch,2,RouteSensor,2048,Read,0,Time,14287665056
Batch,Sprincle_NoRead_Batch,2,RouteSensor,2048,Check,0,Time,249
Batch,Sprincle_NoRead_Batch,2,RouteSensor,2048,Check,0,Matches,9311
Batch,Sprincle_NoRead_Batch,3,RouteSensor,1,Read,0,Time,9068045
Batch,Sprincle_NoRead_Batch,3,RouteSensor,1,Check,0,Time,114
Batch,Sprincle_NoRead_Batch,3,RouteSensor,1,Check,0,Matches,7
Batch,Sprincle_NoRead_Batch,3,RouteSensor,2,Read,0,Time,9191420
Batch,Sprincle_NoRead_Batch,3,RouteSensor,2,Check,0,Time,89
Batch,Sprincle_NoRead_Batch,3,RouteSensor,2,Check,0,Matches,9
Batch,Sprincle_NoRead_Batch,3,RouteSensor,4,Read,0,Time,20288758
Batch,Sprincle_NoRead_Batch,3,RouteSensor,4,Check,0,Time,110
Batch,Sprincle_NoRead_Batch,3,RouteSensor,4,Check,0,Matches,26
Batch,Sprincle_NoRead_Batch,3,RouteSensor,8,Read,0,Time,34355241
Batch,Sprincle_NoRead_Batch,3,RouteSensor,8,Check,0,Time,127
Batch,Sprincle_NoRead_Batch,3,RouteSensor,8,Check,0,Matches,44
Batch,Sprincle_NoRead_Batch,3,RouteSensor,16,Read,0,Time,102064753
Batch,Sprincle_NoRead_Batch,3,RouteSensor,16,Check,0,Time,129
Batch,Sprincle_NoRead_Batch,3,RouteSensor,16,Check,0,Matches,70
Batch,Sprincle_NoRead_Batch,3,RouteSensor,32,Read,0,Time,170491299
Batch,Sprincle_NoRead_Batch,3,RouteSensor,32,Check,0,Time,158
Batch,Sprincle_NoRead_Batch,3,RouteSensor,32,Check,0,Matches,149
Batch,Sprincle_NoRead_Batch,3,RouteSensor,64,Read,0,Time,448362100
Batch,Sprincle_NoRead_Batch,3,RouteSensor,64,Check,0,Time,149
Batch,Sprincle_NoRead_Batch,3,RouteSensor,64,Check,0,Matches,311
Batch,Sprincle_NoRead_Batch,3,RouteSensor,128,Read,0,Time,958323479
Batch,Sprincle_NoRead_Batch,3,RouteSensor,128,Check,0,Time,142
Batch,Sprincle_NoRead_Batch,3,RouteSensor,128,Check,0,Matches,638
Batch,Sprincle_NoRead_Batch,3,RouteSensor,256,Read,0,Time,2102953093
Batch,Sprincle_NoRead_Batch,3,RouteSensor,256,Check,0,Time,152
Batch,Sprincle_NoRead_Batch,3,RouteSensor,256,Check,0,Matches,1248
Batch,Sprincle_NoRead_Batch,3,RouteSensor,512,Read,0,Time,4723356885
Batch,Sprincle_NoRead_Batch,3,RouteSensor,512,Check,0,Time,109
Batch,Sprincle_NoRead_Batch,3,RouteSensor,512,Check,0,Matches,2398
Batch,Sprincle_NoRead_Batch,3,RouteSensor,1024,Read,0,Time,6647315791
Batch,Sprincle_NoRead_Batch,3,RouteSensor,1024,Check,0,Time,200
Batch,Sprincle_NoRead_Batch,3,RouteSensor,1024,Check,0,Matches,4683
Batch,Sprincle_NoRead_Batch,3,RouteSensor,2048,Read,0,Time,14333605150
Batch,Sprincle_NoRead_Batch,3,RouteSensor,2048,Check,0,Time,249
Batch,Sprincle_NoRead_Batch,3,RouteSensor,2048,Check,0,Matches,9311
Batch,Sprincle_NoRead_Batch,4,RouteSensor,1,Read,0,Time,5120018
Batch,Sprincle_NoRead_Batch,4,RouteSensor,1,Check,0,Time,125
Batch,Sprincle_NoRead_Batch,4,RouteSensor,1,Check,0,Matches,7
Batch,Sprincle_NoRead_Batch,4,RouteSensor,2,Read,0,Time,16234567
Batch,Sprincle_NoRead_Batch,4,RouteSensor,2,Check,0,Time,224
Batch,Sprincle_NoRead_Batch,4,RouteSensor,2,Check,0,Matches,9
Batch,Sprincle_NoRead_Batch,4,RouteSensor,4,Read,0,Time,16809617
Batch,Sprincle_NoRead_Batch,4,RouteSensor,4,Check,0,Time,176
Batch,Sprincle_NoRead_Batch,4,RouteSensor,4,Check,0,Matches,26
Batch,Sprincle_NoRead_Batch,4,RouteSensor,8,Read,0,Time,43460816
Batch,Sprincle_NoRead_Batch,4,RouteSensor,8,Check,0,Time,116
Batch,Sprincle_NoRead_Batch,4,RouteSensor,8,Check,0,Matches,44
Batch,Sprincle_NoRead_Batch,4,RouteSensor,16,Read,0,Time,94726308
Batch,Sprincle_NoRead_Batch,4,RouteSensor,16,Check,0,Time,134
Batch,Sprincle_NoRead_Batch,4,RouteSensor,16,Check,0,Matches,70
Batch,Sprincle_NoRead_Batch,4,RouteSensor,32,Read,0,Time,177684728
Batch,Sprincle_NoRead_Batch,4,RouteSensor,32,Check,0,Time,152
Batch,Sprincle_NoRead_Batch,4,RouteSensor,32,Check,0,Matches,149
Batch,Sprincle_NoRead_Batch,4,RouteSensor,64,Read,0,Time,364933714
Batch,Sprincle_NoRead_Batch,4,RouteSensor,64,Check,0,Time,135
Batch,Sprincle_NoRead_Batch,4,RouteSensor,64,Check,0,Matches,311
Batch,Sprincle_NoRead_Batch,4,RouteSensor,128,Read,0,Time,992063083
Batch,Sprincle_NoRead_Batch,4,RouteSensor,128,Check,0,Time,131
Batch,Sprincle_NoRead_Batch,4,RouteSensor,128,Check,0,Matches,638
Batch,Sprincle_NoRead_Batch,4,RouteSensor,256,Read,0,Time,1611396895
Batch,Sprincle_NoRead_Batch,4,RouteSensor,256,Check,0,Time,238
Batch,Sprincle_NoRead_Batch,4,RouteSensor,256,Check,0,Matches,1248
Batch,Sprincle_NoRead_Batch,4,RouteSensor,512,Read,0,Time,5310042724
Batch,Sprincle_NoRead_Batch,4,RouteSensor,512,Check,0,Time,230
Batch,Sprincle_NoRead_Batch,4,RouteSensor,512,Check,0,Matches,2398
Batch,Sprincle_NoRead_Batch,4,RouteSensor,1024,Read,0,Time,9591798674
Batch,Sprincle_NoRead_Batch,4,RouteSensor,1024,Check,0,Time,230
Batch,Sprincle_NoRead_Batch,4,RouteSensor,1024,Check,0,Matches,4683
Batch,Sprincle_NoRead_Batch,4,RouteSensor,2048,Read,0,Time,13792022957
Batch,Sprincle_NoRead_Batch,4,RouteSensor,2048,Check,0,Time,278
Batch,Sprincle_NoRead_Batch,4,RouteSensor,2048,Check,0,Matches,9311
