Scenario,Tool,Run,Case,Artifact,Phase,Iteration,Metric,Value
Batch,Local Search,1,ConnectedSegments,1,Read,1,Time,747445805
Batch,Local Search,1,ConnectedSegments,1,Check,1,Time,294857
Batch,Local Search,1,ConnectedSegments,1,Check,1,Matches,0
Batch,Incremental,1,ConnectedSegments,1,Read,1,Time,2548953008
Batch,Incremental,1,ConnectedSegments,1,Check,1,Time,49877
Batch,Incremental,1,ConnectedSegments,1,Check,1,Matches,0
Batch,Local Search,1,PosLength,1,Read,1,Time,658435633
Batch,Local Search,1,PosLength,1,Check,1,Time,144822
Batch,Local Search,1,PosLength,1,Check,1,Matches,0
Batch,Incremental,1,PosLength,1,Read,1,Time,628631535
Batch,Incremental,1,PosLength,1,Check,1,Time,11209
Batch,Incremental,1,PosLength,1,Check,1,Matches,0
Batch,Incremental,1,ConnectedSegments,2,Read,1,Time,666829384
Batch,Incremental,1,ConnectedSegments,2,Check,1,Time,36174
Batch,Incremental,1,ConnectedSegments,2,Check,1,Matches,0
Batch,Local Search,1,ConnectedSegments,2,Read,1,Time,611153477
Batch,Local Search,1,ConnectedSegments,2,Check,1,Time,129266
Batch,Local Search,1,ConnectedSegments,2,Check,1,Matches,0
Batch,Local Search,1,PosLength,2,Read,1,Time,518035009
Batch,Local Search,1,PosLength,2,Check,1,Time,128178
Batch,Local Search,1,PosLength,2,Check,1,Matches,0
Batch,Incremental,1,PosLength,2,Read,1,Time,504066363
Batch,Incremental,1,PosLength,2,Check,1,Time,13104
Batch,Incremental,1,PosLength,2,Check,1,Matches,0
Batch,Incremental,1,ConnectedSegments,4,Read,1,Time,1078026009
Batch,Incremental,1,ConnectedSegments,4,Check,1,Time,28503
Batch,Incremental,1,ConnectedSegments,4,Check,1,Matches,0
Batch,Local Search,1,PosLength,4,Read,1,Time,761424883
Batch,Local Search,1,PosLength,4,Check,1,Time,158947
Batch,Local Search,1,PosLength,4,Check,1,Matches,0
Batch,Local Search,1,ConnectedSegments,4,Read,1,Time,994473908
Batch,Local Search,1,ConnectedSegments,4,Check,1,Time,92178
Batch,Local Search,1,ConnectedSegments,4,Check,1,Matches,0
Batch,Incremental,1,PosLength,4,Read,1,Time,772824460
Batch,Incremental,1,PosLength,4,Check,1,Time,32629
Batch,Incremental,1,PosLength,4,Check,1,Matches,0
Batch,Local Search,1,PosLength,8,Read,1,Time,1169931273
Batch,Local Search,1,PosLength,8,Check,1,Time,191121
Batch,Local Search,1,PosLength,8,Check,1,Matches,0
Batch,Incremental,1,PosLength,8,Read,1,Time,1085668051
Batch,Incremental,1,PosLength,8,Check,1,Time,48006
Batch,Incremental,1,PosLength,8,Check,1,Matches,0
Batch,Incremental,1,ConnectedSegments,8,Read,1,Time,1550169199
Batch,Incremental,1,ConnectedSegments,8,Check,1,Time,25059
Batch,Incremental,1,ConnectedSegments,8,Check,1,Matches,0
Batch,Local Search,1,ConnectedSegments,8,Read,1,Time,1581553736
Batch,Local Search,1,ConnectedSegments,8,Check,1,Time,182172
Batch,Local Search,1,ConnectedSegments,8,Check,1,Matches,0
Batch,Local Search,2,ConnectedSegments,1,Read,1,Time,141059941
Batch,Local Search,2,ConnectedSegments,1,Check,1,Time,103185
Batch,Local Search,2,ConnectedSegments,1,Check,1,Matches,0
Batch,Incremental,2,ConnectedSegments,1,Read,1,Time,206228383
Batch,Incremental,2,ConnectedSegments,1,Check,1,Time,3456
Batch,Incremental,2,ConnectedSegments,1,Check,1,Matches,0
Batch,Incremental,2,PosLength,1,Read,1,Time,129156957
Batch,Incremental,2,PosLength,1,Check,1,Time,4866
Batch,Incremental,2,PosLength,1,Check,1,Matches,0
Batch,Local Search,2,PosLength,1,Read,1,Time,126458022
Batch,Local Search,2,PosLength,1,Check,1,Time,74358
Batch,Local Search,2,PosLength,1,Check,1,Matches,0
Batch,Local Search,2,ConnectedSegments,2,Read,1,Time,225021749
Batch,Local Search,2,ConnectedSegments,2,Check,1,Time,65179
Batch,Local Search,2,ConnectedSegments,2,Check,1,Matches,0
Batch,Incremental,2,ConnectedSegments,2,Read,1,Time,210796840
Batch,Incremental,2,ConnectedSegments,2,Check,1,Time,3759
Batch,Incremental,2,ConnectedSegments,2,Check,1,Matches,0
Batch,Local Search,2,PosLength,2,Read,1,Time,151736750
Batch,Local Search,2,PosLength,2,Check,1,Time,64216
Batch,Local Search,2,PosLength,2,Check,1,Matches,0
Batch,Incremental,2,PosLength,2,Read,1,Time,155031551
Batch,Incremental,2,PosLength,2,Check,1,Time,4204
Batch,Incremental,2,PosLength,2,Check,1,Matches,0
Batch,Incremental,2,PosLength,4,Read,1,Time,386357888
Batch,Incremental,2,PosLength,4,Check,1,Time,4145
Batch,Incremental,2,PosLength,4,Check,1,Matches,0
Batch,Local Search,2,PosLength,4,Read,1,Time,403136441
Batch,Local Search,2,PosLength,4,Check,1,Time,82562
Batch,Local Search,2,PosLength,4,Check,1,Matches,0
Batch,Incremental,2,ConnectedSegments,4,Read,1,Time,480455678
Batch,Incremental,2,ConnectedSegments,4,Check,1,Time,3663
Batch,Incremental,2,ConnectedSegments,4,Check,1,Matches,0
Batch,Local Search,2,ConnectedSegments,4,Read,1,Time,510295749
Batch,Local Search,2,ConnectedSegments,4,Check,1,Time,58373
Batch,Local Search,2,ConnectedSegments,4,Check,1,Matches,0
Batch,Local Search,2,PosLength,8,Read,1,Time,665968124
Batch,Local Search,2,PosLength,8,Check,1,Time,109037
Batch,Local Search,2,PosLength,8,Check,1,Matches,0
Batch,Local Search,2,ConnectedSegments,8,Read,1,Time,791661621
Batch,Local Search,2,ConnectedSegments,8,Check,1,Time,208707
Batch,Local Search,2,ConnectedSegments,8,Check,1,Matches,0
Batch,Incremental,2,PosLength,8,Read,1,Time,624795249
Batch,Incremental,2,PosLength,8,Check,1,Time,4267
Batch,Incremental,2,PosLength,8,Check,1,Matches,0
Batch,Incremental,2,ConnectedSegments,8,Read,1,Time,869752621
Batch,Incremental,2,ConnectedSegments,8,Check,1,Time,63563
Batch,Incremental,2,ConnectedSegments,8,Check,1,Matches,0
